#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         510     1.18014      1.2908   0.0144996
         511     1.18069     1.29058   0.0144729
         512      1.1812     1.29037   0.0144462
         513     1.18168     1.29016   0.0144196
         514     1.18211     1.28995   0.0143931
         515     1.18252     1.28974   0.0143666
         516     1.18288     1.28953   0.0143403
         517     1.18322     1.28932    0.014314
         518     1.18352     1.28912   0.0142878
         519     1.18379     1.28892   0.0142617
         520     1.18402     1.28871   0.0142357
         521     1.18423     1.28851   0.0142098
         522     1.18441     1.28831    0.014184
         523     1.18457     1.28812   0.0141583
         524     1.18469     1.28792   0.0141326
         525     1.18479     1.28772   0.0141071
         526     1.18487     1.28753   0.0140816
         527     1.18493     1.28733   0.0140562
         528     1.18496     1.28714    0.014031
         529     1.18497     1.28695   0.0140058
         530     1.18497     1.28675   0.0139807
         531     1.18494     1.28656   0.0139556
         532     1.18489     1.28637   0.0139307
         533     1.18483     1.28618   0.0139059
         534     1.18475     1.28599   0.0138811
         535     1.18466      1.2858   0.0138565
         536     1.18455     1.28561   0.0138319
         537     1.18443     1.28542   0.0138074
         538      1.1843     1.28524   0.0137831
         539     1.18415     1.28505   0.0137588
         540     1.18399     1.28486   0.0137346
         541     1.18382     1.28467   0.0137104
         542     1.18364     1.28449   0.0136864
         543     1.18345      1.2843   0.0136625
         544     1.18325     1.28412   0.0136386
         545     1.18304     1.28393   0.0136149
         546     1.18282     1.28374   0.0135912
         547     1.18259     1.28356   0.0135676
         548     1.18236     1.28338   0.0135441
         549     1.18211     1.28319   0.0135207
         550     1.18186     1.28301   0.0134973
         551     1.18161     1.28282   0.0134741
         552     1.18135     1.28264    0.013451
         553     1.18108     1.28246   0.0134279
         554      1.1808     1.28227   0.0134049
         555     1.18052     1.28209    0.013382
         556     1.18023      1.2819   0.0133592
         557     1.17993     1.28172   0.0133365
         558     1.17963     1.28154   0.0133138
         559     1.17932     1.28136   0.0132912
         560       1.179     1.28117   0.0132688
         561     1.17868     1.28099   0.0132464
         562     1.17835     1.28081   0.0132241
         563     1.17801     1.28063   0.0132018
         564     1.17767     1.28044   0.0131797
