#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         505      1.8618    0.689298     0.10999
         506     1.85819    0.691608    0.109796
         507      1.8543    0.693901    0.109604
         508     1.85037    0.696178    0.109412
         509     1.84687    0.698439     0.10922
         510     1.84331    0.700684    0.109029
         511     1.84019    0.702913    0.108838
         512     1.83724    0.705129    0.108648
         513     1.83423     0.70733    0.108459
         514     1.83163    0.709517     0.10827
         515     1.82872     0.71169    0.108082
         516      1.8262     0.71385    0.107894
         517     1.82409    0.715998    0.107706
         518     1.82213    0.718133     0.10752
         519     1.82055    0.720257    0.107333
         520     1.81888     0.72237    0.107148
         521     1.81734    0.724472    0.106963
         522     1.81618    0.726563    0.106778
         523     1.81514    0.728645    0.106594
         524     1.81399    0.730716    0.106411
         525     1.81319    0.732778    0.106228
         526     1.81226     0.73483    0.106046
         527     1.81169    0.736873    0.105865
         528     1.81121    0.738908    0.105684
         529      1.8106    0.740934    0.105503
         530      1.8108    0.742953    0.105324
         531     1.81012    0.744962    0.105144
         532     1.80977    0.746964    0.104966
         533     1.80927    0.748957    0.104788
         534     1.80932    0.750943     0.10461
         535     1.80921    0.752921    0.104434
         536     1.80916    0.754891    0.104257
         537     1.80871    0.756854    0.104082
         538     1.80879    0.758809    0.103907
         539      1.8087    0.760757    0.103732
         540     1.80867    0.762697    0.103558
         541     1.80894    0.764631    0.103385
         542     1.80949    0.766559    0.103212
         543      1.8101    0.768481     0.10304
         544     1.81076    0.770397    0.102868
         545     1.81147    0.772307    0.102697
         546     1.81174    0.774211    0.102527
         547     1.81229    0.776109    0.102357
         548     1.81264       0.778    0.102187
         549     1.81352    0.779886    0.102019
         550     1.81468    0.781768    0.101851
         551     1.81563    0.783644    0.101683
         552     1.81687    0.785516    0.101516
         553      1.8179    0.787383     0.10135
         554     1.81849    0.789244    0.101184
         555     1.82008    0.791101    0.101019
         556     1.82098    0.792954    0.100854
         557     1.82168      0.7948     0.10069
         558     1.82242    0.796642    0.100526
         559     1.82295    0.798478    0.100363
         560     1.82401    0.800309      0.1002
         561     1.82511    0.802136    0.100039
         562     1.82576    0.803957   0.0998771
         563     1.82694    0.805774   0.0997162
         564     1.82793    0.807587   0.0995559
         565     1.82896    0.809395   0.0993961
         566     1.83075    0.811199   0.0992369
         567      1.8326       0.813   0.0990782
         568     1.83425    0.814798   0.0989201
         569     1.83596    0.816593   0.0987625
         570     1.83723    0.818384   0.0986055
         571     1.83881    0.820171    0.098449
         572     1.84092    0.821955    0.098293
         573     1.84237    0.823736   0.0981376
         574     1.84436    0.825514   0.0979828
         575     1.84594    0.827289   0.0978284
         576     1.84782    0.829061   0.0976746
         577     1.85001     0.83083   0.0975214
         578     1.85204    0.832597   0.0973687
         579     1.85413    0.834361   0.0972165
         580     1.85703    0.836124   0.0970648
         581      1.8588    0.837885   0.0969137
         582     1.86113    0.839643   0.0967632
         583     1.86354    0.841399   0.0966131
         584     1.86604    0.843153   0.0964636
         585     1.86839    0.844906   0.0963146
         586     1.87082    0.846657   0.0961662
         587     1.87383    0.848407   0.0960183
         588     1.87669    0.850155   0.0958709
         589     1.88012    0.851904   0.0957241
         590     1.88317    0.853652   0.0955778
         591     1.88631    0.855399   0.0954321
         592     1.88956    0.857146   0.0952868
         593     1.89314    0.858893   0.0951422
         594     1.89634     0.86064    0.094998
         595     1.89988    0.862386   0.0948544
         596     1.90352    0.864133   0.0947114
         597     1.90726    0.865881   0.0945688
         598      1.9111    0.867628   0.0944268
         599     1.91552    0.869378   0.0942854
         600      1.9198    0.871129   0.0941445
         601     1.92442    0.872881   0.0940042
         602     1.92866    0.874635   0.0938644
         603     1.93298     0.87639   0.0937251
         604      1.9374    0.878147   0.0935864
         605     1.94216    0.879905   0.0934482
         606     1.94676    0.881666   0.0933106
         607     1.95145    0.883428   0.0931735
         608      1.9567    0.885193    0.093037
         609      1.9618    0.886961    0.092901
         610     1.96673    0.888731   0.0927656
         611     1.97149    0.890504   0.0926307
         612     1.97585    0.892277   0.0924963
         613       1.981    0.894053   0.0923625
         614     1.98669    0.895833   0.0922292
         615     1.99196    0.897615   0.0920964
         616     1.99705      0.8994   0.0919642
         617     2.00268    0.901188   0.0918326
         618     2.00812    0.902979   0.0917014
         619     2.01385    0.904774   0.0915708
         620     2.01985    0.906572   0.0914408
         621      2.0259    0.908375   0.0913113
         622     2.03175    0.910181   0.0911824
         623     2.03738     0.91199    0.091054
         624     2.04257    0.913802   0.0909261
         625     2.04826    0.915617   0.0907987
         626     2.05374    0.917435   0.0906719
         627     2.05972    0.919257   0.0905456
         628     2.06597    0.921083   0.0904198
         629      2.0715    0.922912   0.0902945
         630     2.07754    0.924745   0.0901698
         631      2.0831     0.92658   0.0900456
         632     2.08916     0.92842   0.0899219
         633     2.09524    0.930263   0.0897987
         634     2.10084    0.932109   0.0896761
