#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         427     -6.7173    -6.69327  0.00655409
         428    -6.68224    -6.69325  0.00653883
         429    -6.66258    -6.69317  0.00652398
         430    -6.60546    -6.69297    0.006512
         431    -6.57905    -6.69271  0.00650225
         432     -6.5722    -6.69243  0.00649318
         433    -6.55393    -6.69211  0.00648606
         434    -6.53368    -6.69174  0.00648138
         435    -6.49949     -6.6913  0.00648153
         436    -6.56106      -6.691  0.00647354
         437    -6.49073    -6.69054  0.00647493
         438    -6.61833    -6.69038  0.00646224
         439    -6.61142     -6.6902  0.00645003
         440      -6.627    -6.69005  0.00643697
         441    -6.69986    -6.69008  0.00642241
         442    -6.70026     -6.6901  0.00640792
         443    -6.72096    -6.69017  0.00639383
         444    -6.64014    -6.69006  0.00638043
         445    -6.63214    -6.68993  0.00636742
         446    -6.65625    -6.68985  0.00635359
         447    -6.68984    -6.68985  0.00633937
         448    -6.64289    -6.68975  0.00632609
         449    -6.60496    -6.68956  0.00631482
         450    -6.66836    -6.68951  0.00630096
         451    -6.68386     -6.6895    0.006287
         452     -6.5867    -6.68927   0.0062772
         453    -6.55928    -6.68898   0.0062699
         454    -6.63546    -6.68887   0.0062572
         455    -6.63676    -6.68875   0.0062445
         456    -6.66223    -6.68869  0.00623107
         457    -6.69875    -6.68871  0.00621748
         458    -6.63821     -6.6886  0.00620488
         459    -6.58105    -6.68837  0.00619578
         460    -6.68886    -6.68837  0.00618232
         461    -6.76476    -6.68854  0.00617113
         462    -6.75924    -6.68869  0.00615967
         463    -6.79213    -6.68891  0.00615041
         464    -6.75444    -6.68905  0.00613878
         465    -6.67693    -6.68903  0.00612563
         466    -6.73678    -6.68913  0.00611334
         467    -6.67879    -6.68911  0.00610029
         468    -6.74667    -6.68923   0.0060885
         469    -6.78031    -6.68943  0.00607861
         470     -6.6772     -6.6894  0.00606574
         471    -6.66094    -6.68934  0.00605316
         472    -6.72093    -6.68941   0.0060407
         473    -6.72447    -6.68948  0.00602839
         474    -6.67527    -6.68945  0.00601574
         475    -6.74772    -6.68957  0.00600433
         476    -6.73384    -6.68967  0.00599244
         477    -6.82787    -6.68996  0.00598687
         478    -6.79291    -6.69017  0.00597822
         479     -6.7822    -6.69036  0.00596883
         480    -6.83237    -6.69066  0.00596372
         481    -6.82017    -6.69093   0.0059574
         482    -6.76323    -6.69108  0.00594692
         483      -6.825    -6.69136  0.00594107
         484     -6.7903    -6.69156  0.00593231
         485    -6.79942    -6.69178  0.00592425
         486    -6.76317    -6.69193  0.00591388
         487    -6.70474    -6.69196  0.00590179
         488    -6.66026    -6.69189  0.00589006
         489    -6.64183    -6.69179   0.0058789
         490    -6.64218    -6.69169  0.00586778
         491    -6.55888    -6.69142  0.00586206
         492    -6.58303     -6.6912  0.00585428
         493    -6.53873    -6.69089  0.00585057
         494    -6.57984    -6.69066  0.00584304
         495    -6.51404    -6.69031  0.00584212
         496    -6.53624       -6.69   0.0058386
         497    -6.61296    -6.68984   0.0058289
         498    -6.66631    -6.68979  0.00581739
         499    -6.54658    -6.68951  0.00581281
         500    -6.69445    -6.68952  0.00580119
         501    -6.68198     -6.6895  0.00578963
         502    -6.68772     -6.6895   0.0057781
         503    -6.70739    -6.68953  0.00576672
         504    -6.72436     -6.6896  0.00575569
         505    -6.61403    -6.68945  0.00574624
         506    -6.67834    -6.68943  0.00573493
         507    -6.67478     -6.6894  0.00572369
         508    -6.70029    -6.68942  0.00571246
         509    -6.77583    -6.68959  0.00570376
         510    -6.77414    -6.68976  0.00569499
         511    -6.78598    -6.68995  0.00568695
         512    -6.74604    -6.69006   0.0056769
         513    -6.85035    -6.69037  0.00567443
         514    -6.79496    -6.69057  0.00566704
         515    -6.77179    -6.69073  0.00565823
         516    -6.73065    -6.69081  0.00564779
         517    -6.76565    -6.69095  0.00563872
         518    -6.76616     -6.6911   0.0056297
         519    -6.67845    -6.69107  0.00561891
         520    -6.61752    -6.69093  0.00560988
