#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         509    0.903988    0.901264 5.18892e-05
         510    0.904006    0.901269 5.20653e-05
         511    0.904024    0.901275 5.22417e-05
         512    0.904042     0.90128 5.24184e-05
         513     0.90406    0.901286 5.25955e-05
         514    0.904078    0.901291 5.27729e-05
         515    0.904096    0.901296 5.29507e-05
         516    0.904114    0.901302 5.31288e-05
         517    0.904132    0.901307 5.33072e-05
         518     0.90415    0.901313  5.3486e-05
         519    0.904168    0.901318 5.36651e-05
         520    0.904186    0.901324 5.38446e-05
         521    0.904205    0.901329 5.40244e-05
         522    0.904223    0.901335 5.42046e-05
         523    0.904242    0.901341 5.43851e-05
         524     0.90426    0.901346 5.45659e-05
         525    0.904279    0.901352 5.47471e-05
         526    0.904297    0.901357 5.49287e-05
         527    0.904316    0.901363 5.51106e-05
         528    0.904335    0.901369 5.52929e-05
         529    0.904353    0.901374 5.54755e-05
         530    0.904372     0.90138 5.56584e-05
         531    0.904391    0.901385 5.58417e-05
         532     0.90441    0.901391 5.60254e-05
         533    0.904429    0.901397 5.62094e-05
         534    0.904448    0.901403 5.63938e-05
         535    0.904467    0.901408 5.65785e-05
         536    0.904486    0.901414 5.67636e-05
         537    0.904505     0.90142  5.6949e-05
         538    0.904525    0.901426 5.71348e-05
         539    0.904544    0.901431  5.7321e-05
         540    0.904563    0.901437 5.75075e-05
         541    0.904583    0.901443 5.76944e-05
         542    0.904602    0.901449 5.78816e-05
         543    0.904622    0.901455 5.80692e-05
         544    0.904641    0.901461 5.82572e-05
         545    0.904661    0.901466 5.84455e-05
         546    0.904681    0.901472 5.86342e-05
         547      0.9047    0.901478 5.88232e-05
         548     0.90472    0.901484 5.90126e-05
         549     0.90474     0.90149 5.92024e-05
         550     0.90476    0.901496 5.93925e-05
         551     0.90478    0.901502  5.9583e-05
         552      0.9048    0.901508 5.97739e-05
         553     0.90482    0.901514 5.99652e-05
         554     0.90484     0.90152 6.01568e-05
         555     0.90486    0.901526 6.03487e-05
